"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate
"Total","2000","2000","50 years","50",,,16356,3808515,429.5
,"2000","2000","51 years","51","Female","F",6378,1847534,345.2
,"2000","2000","51 years","51","Male","M",10614,1769463,599.8
"Total","2000","2000","51 years","51",,,16992,3616997,469.8
,"2000","2000","52 years","52","Female","F",7039,1891651,372.1
,"2000","2000","52 years","52","Male","M",11488,1815785,632.7
"Total","2000","2000","52 years","52",,,18527,3707436,499.7
,"2000","2000","53 years","53","Female","F",7848,1856617,422.7
,"2000","2000","53 years","53","Male","M",12364,1778423,695.2
"Total","2000","2000","53 years","53",,,20212,3635040,556.0
,"2000","2000","54 years","54","Female","F",6867,1445145,475.2
,"2000","2000","54 years","54","Male","M",10555,1372415,769.1
"Total","2000","2000","54 years","54",,,17422,2817560,618.3
,"2000","2000","55 years","55","Female","F",7283,1463741,497.6
,"2000","2000","55 years","55","Male","M",11498,1386859,829.1
"Total","2000","2000","55 years","55",,,18781,2850600,658.8
,"2000","2000","56 years","56","Female","F",8069,1462265,551.8
,"2000","2000","56 years","56","Male","M",12334,1375187,896.9
"Total","2000","2000","56 years","56",,,20403,2837452,719.1
,"2000","2000","57 years","57","Female","F",8930,1479824,603.5
,"2000","2000","57 years","57","Male","M",13597,1384196,982.3
"Total","2000","2000","57 years","57",,,22527,2864020,786.6
,"2000","2000","58 years","58","Female","F",8892,1317443,674.9
,"2000","2000","58 years","58","Male","M",13356,1222709,1092.3
"Total","2000","2000","58 years","58",,,22248,2540152,875.9
,"2000","2000","59 years","59","Female","F",9152,1237235,739.7
,"2000","2000","59 years","59","Male","M",13640,1139778,1196.7
"Total","2000","2000","59 years","59",,,22792,2377013,958.9
,"2000","2000","60 years","60","Female","F",9596,1208384,794.1
,"2000","2000","60 years","60","Male","M",14152,1111560,1273.2
"Total","2000","2000","60 years","60",,,23748,2319944,1023.6
,"2000","2000","61 years","61","Female","F",10435,1159548,899.9
,"2000","2000","61 years","61","Male","M",14657,1061679,1380.5
"Total","2000","2000","61 years","61",,,25092,2221227,1129.6
,"2000","2000","62 years","62","Female","F",11092,1137207,975.4
,"2000","2000","62 years","62","Male","M",15832,1033865,1531.3
"Total","2000","2000","62 years","62",,,26924,2171072,1240.1
,"2000","2000","63 years","63","Female","F",11507,1081948,1063.5
,"2000","2000","63 years","63","Male","M",16511,971203,1700.1
"Total","2000","2000","63 years","63",,,28018,2053151,1364.6
,"2000","2000","64 years","64","Female","F",12569,1081733,1161.9
,"2000","2000","64 years","64","Male","M",17744,958320,1851.6
"Total","2000","2000","64 years","64",,,30313,2040053,1485.9
,"2000","2000","65 years","65","Female","F",13536,1079260,1254.2
,"2000","2000","65 years","65","Male","M",18614,950651,1958.0
"Total","2000","2000","65 years","65",,,32150,2029911,1583.8
,"2000","2000","66 years","66","Female","F",14175,996164,1423.0
,"2000","2000","66 years","66","Male","M",18960,864156,2194.0
"Total","2000","2000","66 years","66",,,33135,1860320,1781.1
,"2000","2000","67 years","67","Female","F",15384,1022372,1504.7
,"2000","2000","67 years","67","Male","M",20658,874079,2363.4
"Total","2000","2000","67 years","67",,,36042,1896451,1900.5
,"2000","2000","68 years","68","Female","F",16719,1008370,1658.0
,"2000","2000","68 years","68","Male","M",22082,856145,2579.2
"Total","2000","2000","68 years","68",,,38801,1864515,2081.0
,"2000","2000","69 years","69","Female","F",17990,1027017,1751.7
,"2000","2000","69 years","69","Male","M",23621,855331,2761.6
"Total","2000","2000","69 years","69",,,41611,1882348,2210.6
,"2000","2000","70 years","70","Female","F",19904,1030658,1931.2
,"2000","2000","70 years","70","Male","M",25690,844517,3042.0
"Total","2000","2000","70 years","70",,,45594,1875175,2431.5
,"2000","2000","71 years","71","Female","F",21150,989752,2136.9
,"2000","2000","71 years","71","Male","M",27007,798517,3382.1
"Total","2000","2000","71 years","71",,,48157,1788269,2692.9
,"2000","2000","72 years","72","Female","F",23224,1000532,2321.2
,"2000","2000","72 years","72","Male","M",29167,791164,3686.6
"Total","2000","2000","72 years","72",,,52391,1791696,2924.1
,"2000","2000","73 years","73","Female","F",24886,973735,2555.7
,"2000","2000","73 years","73","Male","M",30297,751433,4031.9
"Total","2000","2000","73 years","73",,,55183,1725168,3198.7
,"2000","2000","74 years","74","Female","F",26833,959852,2795.5
,"2000","2000","74 years","74","Male","M",31312,717281,4365.4
"Total","2000","2000","74 years","74",,,58145,1677133,3466.9
,"2000","2000","75 years","75","Female","F",29663,955776,3103.6
,"2000","2000","75 years","75","Male","M",32971,695865,4738.1
"Total","2000","2000","75 years","75",,,62634,1651641,3792.2
,"2000","2000","76 years","76","Female","F",31019,908794,3413.2
,"2000","2000","76 years","76","Male","M",33727,647773,5206.6
"Total","2000","2000","76 years","76",,,64746,1556567,4159.5
,"2000","2000","77 years","77","Female","F",32347,861039,3756.7
,"2000","2000","77 years","77","Male","M",34530,599742,5757.5
"Total","2000","2000","77 years","77",,,66877,1460781,4578.2
,"2000","2000","78 years","78","Female","F",35009,852548,4106.4
,"2000","2000","78 years","78","Male","M",35746,579368,6169.8
"Total","2000","2000","78 years","78",,,70755,1431916,4941.3
,"2000","2000","79 years","79","Female","F",36335,793200,4580.8
,"2000","2000","79 years","79","Male","M",36353,521708,6968.1
"Total","2000","2000","79 years","79",,,72688,1314908,5528.0
,"2000","2000","80 years","80","Female","F",38076,740352,5143.0
,"2000","2000","80 years","80","Male","M",35604,467013,7623.8
"Total","2000","2000","80 years","80",,,73680,1207365,6102.5
,"2000","2000","81 years","81","Female","F",37461,665502,5629.0
,"2000","2000","81 years","81","Male","M",33516,406546,8244.1
"Total","2000","2000","81 years","81",,,70977,1072048,6620.7
,"2000","2000","82 years","82","Female","F",39322,616747,6375.7
,"2000","2000","82 years","82","Male","M",34053,364815,9334.3
"Total","2000","2000","82 years","82",,,73375,981562,7475.3
,"2000","2000","83 years","83","Female","F",39953,565774,7061.7
,"2000","2000","83 years","83","Male","M",32350,317289,10195.8
"Total","2000","2000","83 years","83",,,72303,883063,8187.8
,"2000","2000","84 years","84","Female","F",41041,522095,7860.8
,"2000","2000","84 years","84","Male","M",31369,279234,11233.9
"Total","2000","2000","84 years","84",,,72410,801329,9036.2
,"2000","2000","85 years","85","Female","F",42558,Not Applicable,Not Applicable
,"2000","2000","85 years","85","Male","M",30401,Not Applicable,Not Applicable
"Total","2000","2000","85 years","85",,,72959,Not Applicable,Not Applicable
,"2000","2000","86 years","86","Female","F",42620,Not Applicable,Not Applicable
,"2000","2000","86 years","86","Male","M",28512,Not Applicable,Not Applicable
"Total","2000","2000","86 years","86",,,71132,Not Applicable,Not Applicable
,"2000","2000","87 years","87","Female","F",42236,Not Applicable,Not Applicable
,"2000","2000","87 years","87","Male","M",26109,Not Applicable,Not Applicable
"Total","2000","2000","87 years","87",,,68345,Not Applicable,Not Applicable
,"2000","2000","88 years","88","Female","F",40423,Not Applicable,Not Applicable
,"2000","2000","88 years","88","Male","M",23161,Not Applicable,Not Applicable
"Total","2000","2000","88 years","88",,,63584,Not Applicable,Not Applicable
,"2000","2000","89 years","89","Female","F",39099,Not Applicable,Not Applicable
,"2000","2000","89 years","89","Male","M",20694,Not Applicable,Not Applicable
"Total","2000","2000","89 years","89",,,59793,Not Applicable,Not Applicable
,"2000","2000","90 years","90","Female","F",37181,Not Applicable,Not Applicable
,"2000","2000","90 years","90","Male","M",17771,Not Applicable,Not Applicable
"Total","2000","2000","90 years","90",,,54952,Not Applicable,Not Applicable
,"2000","2000","91 years","91","Female","F",34358,Not Applicable,Not Applicable
,"2000","2000","91 years","91","Male","M",15155,Not Applicable,Not Applicable
"Total","2000","2000","91 years","91",,,49513,Not Applicable,Not Applicable
,"2000","2000","92 years","92","Female","F",31999,Not Applicable,Not Applicable
,"2000","2000","92 years","92","Male","M",12902,Not Applicable,Not Applicable
"Total","2000","2000","92 years","92",,,44901,Not Applicable,Not Applicable
,"2000","2000","93 years","93","Female","F",27542,Not Applicable,Not Applicable
,"2000","2000","93 years","93","Male","M",10455,Not Applicable,Not Applicable
"Total","2000","2000","93 years","93",,,37997,Not Applicable,Not Applicable
,"2000","2000","94 years","94","Female","F",23764,Not Applicable,Not Applicable
,"2000","2000","94 years","94","Male","M",8156,Not Applicable,Not Applicable
"Total","2000","2000","94 years","94",,,31920,Not Applicable,Not Applicable
,"2000","2000","95 years","95","Female","F",19959,Not Applicable,Not Applicable
,"2000","2000","95 years","95","Male","M",6226,Not Applicable,Not Applicable
"Total","2000","2000","95 years","95",,,26185,Not Applicable,Not Applicable
,"2000","2000","96 years","96","Female","F",16228,Not Applicable,Not Applicable
,"2000","2000","96 years","96","Male","M",4783,Not Applicable,Not Applicable
"Total","2000","2000","96 years","96",,,21011,Not Applicable,Not Applicable
,"2000","2000","97 years","97","Female","F",12949,Not Applicable,Not Applicable
,"2000","2000","97 years","97","Male","M",3453,Not Applicable,Not Applicable
"Total","2000","2000","97 years","97",,,16402,Not Applicable,Not Applicable
,"2000","2000","98 years","98","Female","F",9725,Not Applicable,Not Applicable
,"2000","2000","98 years","98","Male","M",2409,Not Applicable,Not Applicable
"Total","2000","2000","98 years","98",,,12134,Not Applicable,Not Applicable
,"2000","2000","99 years","99","Female","F",7228,Not Applicable,Not Applicable
,"2000","2000","99 years","99","Male","M",1681,Not Applicable,Not Applicable
"Total","2000","2000","99 years","99",,,8909,Not Applicable,Not Applicable
,"2000","2000","100+ years","100","Female","F",15560,Not Applicable,Not Applicable
,"2000","2000","100+ years","100","Male","M",2874,Not Applicable,Not Applicable
"Total","2000","2000","100+ years","100",,,18434,Not Applicable,Not Applicable
,"2000","2000","Not Stated","NS","Female","F",67,Not Applicable,Not Applicable
,"2000","2000","Not Stated","NS","Male","M",289,Not Applicable,Not Applicable
"Total","2000","2000","Not Stated","NS",,,356,Not Applicable,Not Applicable
"Total","2000","2000",,,,,2403351,281421906,854.0
,"2001","2001","< 1 year","0","Female","F",12091,1962905,616.0
,"2001","2001","< 1 year","0","Male","M",15477,2049753,755.1
"Total","2001","2001","< 1 year","0",,,27568,4012658,687.0
,"2001","2001","1 year","1","Female","F",891,1882601,47.3
,"2001","2001","1 year","1","Male","M",1111,1972806,56.3
"Total","2001","2001","1 year","1",,,2002,3855407,51.9
,"2001","2001","2 years","2","Female","F",556,1857181,29.9
,"2001","2001","2 years","2","Male","M",747,1942915,38.4
"Total","2001","2001","2 years","2",,,1303,3800096,34.3
,"2001","2001","3 years","3","Female","F",420,1857443,22.6
,"2001","2001","3 years","3","Male","M",563,1945267,28.9
"Total","2001","2001","3 years","3",,,983,3802710,25.8
,"2001","2001","4 years","4","Female","F",341,1871311,18.2
,"2001","2001","4 years","4","Male","M",478,1956035,24.4
"Total","2001","2001","4 years","4",,,819,3827346,21.4
,"2001","2001","5 years","5","Female","F",287,1909212,15.0
,"2001","2001","5 years","5","Male","M",383,2000821,19.1
"Total","2001","2001","5 years","5",,,670,3910033,17.1
,"2001","2001","6 years","6","Female","F",282,1937940,14.6
,"2001","2001","6 years","6","Male","M",351,2034568,17.3
"Total","2001","2001","6 years","6",,,633,3972508,15.9
,"2001","2001","7 years","7","Female","F",275,1958002,14.0
,"2001","2001","7 years","7","Male","M",306,2054047,14.9
"Total","2001","2001","7 years","7",,,581,4012049,14.5
,"2001","2001","8 years","8","Female","F",246,1998184,12.3
,"2001","2001","8 years","8","Male","M",338,2101358,16.1
"Total","2001","2001","8 years","8",,,584,4099542,14.2
,"2001","2001","9 years","9","Female","F",276,2040960,13.5
,"2001","2001","9 years","9","Male","M",349,2138270,16.3
"Total","2001","2001","9 years","9",,,625,4179230,15.0
,"2001","2001","10 years","10","Female","F",245,2087011,11.7
,"2001","2001","10 years","10","Male","M",391,2190238,17.9
"Total","2001","2001","10 years","10",,,636,4277249,14.9
,"2001","2001","11 years","11","Female","F",272,2117318,12.8
,"2001","2001","11 years","11","Male","M",409,2227595,18.4
"Total","2001","2001","11 years","11",,,681,4344913,15.7
,"2001","2001","12 years","12","Female","F",301,2040841,14.7
,"2001","2001","12 years","12","Male","M",435,2143114,20.3
"Total","2001","2001","12 years","12",,,736,4183955,17.6
,"2001","2001","13 years","13","Female","F",325,2006423,16.2
,"2001","2001","13 years","13","Male","M",536,2106768,25.4
"Total","2001","2001","13 years","13",,,861,4113191,20.9
,"2001","2001","14 years","14","Female","F",418,1979876,21.1
,"2001","2001","14 years","14","Male","M",670,2079494,32.2
"Total","2001","2001","14 years","14",,,1088,4059370,26.8
,"2001","2001","15 years","15","Female","F",499,1987434,25.1
,"2001","2001","15 years","15","Male","M",962,2096444,45.9
"Total","2001","2001","15 years","15",,,1461,4083878,35.8
,"2001","2001","16 years","16","Female","F",741,1992853,37.2
,"2001","2001","16 years","16","Male","M",1441,2115451,68.1
"Total","2001","2001","16 years","16",,,2182,4108304,53.1
,"2001","2001","17 years","17","Female","F",849,1947338,43.6
,"2001","2001","17 years","17","Male","M",1922,2081398,92.3
"Total","2001","2001","17 years","17",,,2771,4028736,68.8
,"2001","2001","18 years","18","Female","F",830,1977996,42.0
,"2001","2001","18 years","18","Male","M",2547,2124855,119.9
"Total","2001","2001","18 years","18",,,3377,4102851,82.3
,"2001","2001","19 years","19","Female","F",870,2003276,43.4
,"2001","2001","19 years","19","Male","M",2894,2129239,135.9
"Total","2001","2001","19 years","19",,,3764,4132515,91.1
,"2001","2001","20 years","20","Female","F",900,2034401,44.2
,"2001","2001","20 years","20","Male","M",2857,2122324,134.6
"Total","2001","2001","20 years","20",,,3757,4156725,90.4
,"2001","2001","21 years","21","Female","F",959,2025446,47.3
,"2001","2001","21 years","21","Male","M",3136,2107865,148.8
"Total","2001","2001","21 years","21",,,4095,4133311,99.1
,"2001","2001","22 years","22","Female","F",839,1916731,43.8
,"2001","2001","22 years","22","Male","M",2876,2002585,143.6
"Total","2001","2001","22 years","22",,,3715,3919316,94.8
,"2001","2001","23 years","23","Female","F",916,1860062,49.2
,"2001","2001","23 years","23","Male","M",2693,1938492,138.9
"Total","2001","2001","23 years","23",,,3609,3798554,95.0
,"2001","2001","24 years","24","Female","F",886,1840310,48.1
,"2001","2001","24 years","24","Male","M",2635,1909070,138.0
"Total","2001","2001","24 years","24",,,3521,3749380,93.9
,"2001","2001","25 years","25","Female","F",934,1800155,51.9
,"2001","2001","25 years","25","Male","M",2472,1859564,132.9
"Total","2001","2001","25 years","25",,,3406,3659719,93.1
,"2001","2001","26 years","26","Female","F",938,1858168,50.5
,"2001","2001","26 years","26","Male","M",2635,1909984,138.0
"Total","2001","2001","26 years","26",,,3573,3768152,94.8
,"2001","2001","27 years","27","Female","F",1013,1814890,55.8
,"2001","2001","27 years","27","Male","M",2498,1853810,134.7
"Total","2001","2001","27 years","27",,,3511,3668700,95.7
,"2001","2001","28 years","28","Female","F",1098,1867542,58.8
,"2001","2001","28 years","28","Male","M",2665,1898587,140.4
"Total","2001","2001","28 years","28",,,3763,3766129,99.9
,"2001","2001","29 years","29","Female","F",1222,1962358,62.3
,"2001","2001","29 years","29","Male","M",2736,1994289,137.2
"Total","2001","2001","29 years","29",,,3958,3956647,100.0
,"2001","2001","30 years","30","Female","F",1374,2096477,65.5
,"2001","2001","30 years","30","Male","M",3008,2121783,141.8
"Total","2001","2001","30 years","30",,,4382,4218260,103.9
,"2001","2001","31 years","31","Female","F",1372,2128146,64.5
,"2001","2001","31 years","31","Male","M",3066,2174543,141.0
"Total","2001","2001","31 years","31",,,4438,4302689,103.1
,"2001","2001","32 years","32","Female","F",1556,2026967,76.8
,"2001","2001","32 years","32","Male","M",3015,2055935,146.6
"Total","2001","2001","32 years","32",,,4571,4082902,112.0
